Gene	Annotation	Mean Probe Intensity VSgDNA 	Median Probe Intensity VSgDNA 	Bright Segment Length Dependent Score VSgDNA 	Bright Probe Fraction VSgDNA 	Mean Bright Probe Intensity VSgDNA 	Median Bright Probe Intensity VSgDNA 	Sequence Identity to VS
ACZ62520.1	ACZ62520.1 reductive dehalogenase [Dehalococcoides sp. VS].	36973.93617	36989.5	2209	1	36973.93617	36989.5	
ACZ62448.1	ACZ62448.1 reductive dehalogenase [Dehalococcoides sp. VS].	20223.41304	19743.5	2116	1	20223.41304	19743.5	
ACZ61341.1	ACZ61341.1 reductive dehalogenase [Dehalococcoides sp. VS].	31692.94444	30578	2025	1	31692.94444	30578	
ACZ62446.1	ACZ62446.1 reductive dehalogenase [Dehalococcoides sp. VS].	18429.96512	16449	1849	1	18429.96512	16449	
ACZ62484.1	ACZ62484.1 reductive dehalogenase associated protein [Dehalococcoides sp. VS].	29579.86111	27129.5	324	1	29579.86111	27129.5	1
ABQ16882.1	ABQ16882.1 reductive dehalogenase [Dehalococcoides sp. BAV1].	14557.82353	12739	1762	0.980392157	14848	13275	0.958
AAW40575.1	"AAW40575.1 reductive dehalogenase, putative [Dehalococcoides ethenogenes 195]."	26485.32222	25927	1690	0.977777778	27079.23864	26334	0.968
ABQ16863.1	ABQ16863.1 reductive dehalogenase [Dehalococcoides sp. BAV1].	13907.95192	12697.75	1863	0.942307692	14743.92857	12883	0.945
ADC74673.1	ADC74673.1 reductive dehalogenase [Dehalococcoides sp. GT].	24635.2551	18437	1098	0.93877551	26232.81522	20442.5	0.89
AAW39240.1	"AAW39240.1 reductive dehalogenase, putative [Dehalococcoides ethenogenes 195]."	22576.86735	15497	946	0.93877551	24039.02174	17963	0.892
ADC74702.1	ADC74702.1 reductive dehalogenase [Dehalococcoides sp. GT].	22895.21429	21402.5	730	0.93877551	24378.41304	22095	0.926
AAT48556.1	AAT48556.1 putative reductive dehalogenase [Dehalococcoides sp. BAV1].	20265.95833	15630	1001	0.9375	21604.23333	17278	0.892
ADC74708.1	ADC74708.1 reductive dehalogenase [Dehalococcoides sp. GT].	16542.14	13242.75	582	0.92	17969.67391	14570.5	0.903
ADC74662.1	ADC74662.1 reductive dehalogenase [Dehalococcoides sp. GT].	12487.58163	10941.5	790	0.897959184	13889.27273	13012.75	0.904
ACF24863.1	ACF24863.1 putative trans-DCE producing reductive dehalogenase [Dehalococcoides sp. MB].	24385.39796	17600	544	0.897959184	27139.67045	18934	0.901
BAI70451.1	BAI70451.1 reductive dehalogenase [uncultured bacterium].	21664.05319	16991	804	0.893617021	24217.92857	19768	0.927
BAG55976.1	BAG55976.1 reductive dehalogenase [uncultured bacterium].	14654.55	11573.75	185	0.85	17225.41176	18437	0.908
ABA64539.1	ABA64539.1 reductive dehalogenase protein [Dehalococcoides sp. KB1].	22405.58333	16674	630	0.833333333	26849.8	21596	0.874
AAW39605.1	"AAW39605.1 reductive dehalogenase, putative [Dehalococcoides ethenogenes 195]."	13903.4434	10556.5	536	0.830188679	16706.46591	16579.75	0.911
ADC74693.1	ADC74693.1 reductive dehalogenase [Dehalococcoides sp. GT].	12880.29787	8826	665	0.829787234	15488.46154	12152	0.895
ABQ16712.1	ABQ16712.1 reductive dehalogenase [Dehalococcoides sp. BAV1].	7749.558824	4650	440	0.823529412	9372.095238	6294.5	0.892
AAW39214.1	"AAW39214.1 reductive dehalogenase, putative [Dehalococcoides ethenogenes 195]."	12228.1	8034	259	0.82	14878.12195	11247	0.877
ADC74676.1	ADC74676.1 reductive dehalogenase [Dehalococcoides sp. GT].	11800.55	5636.5	262	0.8	14706.25	8686	0.881
AAR24312.1	AAR24312.1 reductive dehalogenase homologous protein RdhA9 [Dehalococcoides sp. CBDB1].	22049.57143	14446.5	418	0.775510204	28375.96053	21556	0.878
ADC74658.1	ADC74658.1 reductive dehalogenase [Dehalococcoides sp. GT].	8665.39	5058.5	232	0.76	11350.02632	8563	0.883
ADR80140.1	ADR80140.1 putative reductive dehalogenase [uncultured Dehalococcoides sp.].	6598	4714.5	64	0.736842105	8893.178571	5978	0.865
ABA64547.1	ABA64547.1 reductive dehalogenase protein [Dehalococcoides sp. KB1].	17923.80612	12082	604	0.734693878	24353.29167	19139.5	0.892
ADR80137.1	ADR80137.1 putative reductive dehalogenase [uncultured Dehalococcoides sp.].	11794.25	6482.75	75	0.722222222	16293.23077	10812.5	0.872
CAI83191.1	CAI83191.1 putative reductive dehalogenase [Dehalococcoides sp. CBDB1].	5760.537736	2232	324	0.716981132	7934.315789	6075.5	0.868
ABQ16871.1	ABQ16871.1 reductive dehalogenase [Dehalococcoides sp. BAV1].	8220.010204	3548	487	0.714285714	11447.95714	7167	0.868
ADC74548.1	ADC74548.1 reductive dehalogenase [Dehalococcoides sp. GT].	18123.86735	13221	319	0.714285714	25284.2	17194	0.857
AAW40342.1	"AAW40342.1 reductive dehalogenase, putative [Dehalococcoides ethenogenes 195]."	10963.36735	4808	183	0.714285714	15290.25714	13451	0.869
AAT48548.1	AAT48548.1 putative reductive dehalogenase [Dehalococcoides sp. BAV1].	5064.73913	2666	306	0.695652174	7179.484375	4816	0.897
AAW39229.1	"AAW39229.1 reductive dehalogenase, putative [Dehalococcoides ethenogenes 195]."	10886.79592	2883	401	0.673469388	16089.48485	12840	0.826
ACF24861.1	ACF24861.1 putative reductive dehalogenase [Dehalococcoides sp. MB].	7915.46875	2697.75	192	0.666666667	11768.48438	6606.5	0.87
BAG72167.1	BAG72167.1 reductive dehalogenase homologouse [uncultured bacterium].	6047.43	2333.5	319	0.66	9080.151515	5475.5	0.835
AAW39273.1	"AAW39273.1 reductive dehalogenase, putative [Dehalococcoides ethenogenes 195]."	6215.89	1643	165	0.66	9292.227273	5214	0.843
ABQ16868.1	ABQ16868.1 reductive dehalogenase [Dehalococcoides sp. BAV1].	4842.276596	2766	121	0.659574468	7255.435484	6283	0.874
ADC74550.1	ADC74550.1 reductive dehalogenase [Dehalococcoides sp. GT].	7612.714286	3606	223	0.632653061	11939.30645	8624	0.85
2013897912	>2013897912 DCKB1\_114910 reductive dehalogenase 10265..11752(+) [Aquatic dechlorinating community (KB-1) (Sample 10166)]	5631.642857	1455.5	135	0.632653061	8829.258065	5107.5	0.851
ABQ16764.1	ABQ16764.1 reductive dehalogenase [Dehalococcoides sp. BAV1].	7916.233333	2458	126	0.622222222	12644.82143	10365.25	0.874
ADC74632.1	ADC74632.1 reductive dehalogenase [Dehalococcoides sp. GT].	6481.37	3287.5	157	0.62	10354.87097	8364.5	0.865
CAI83570.1	CAI83570.1 putative reductive dehalogenase [Dehalococcoides sp. CBDB1].	4968.32	803	117	0.62	7940.645161	4697	0.849
ABC80105.1	"ABC80105.1 4Fe-4S ferredoxin, iron-sulfur binding protein [Anaeromyxobacter dehalogenans 2CP-C]."	1090.65625	636.5	202	0.59375	1687.368421	1224.5	
AAW40373.1	"AAW40373.1 reductive dehalogenase, putative [Dehalococcoides ethenogenes 195]."	5137.941176	1125	104	0.588235294	8613.216667	5608	0.853
ADC74655.1	ADC74655.1 reductive dehalogenase [Dehalococcoides sp. GT].	7291.86	874.75	111	0.58	12402.17241	5723	0.851
ABC80107.1	"ABC80107.1 4Fe-4S ferredoxin, iron-sulfur binding protein [Anaeromyxobacter dehalogenans 2CP-C]."	2856.408163	668	110	0.571428571	4780.910714	1443	
EEB83384.1	EEB83384.1 putative reductive dehalogenase subfamily protein [Roseobacter sp. GAI101].	4253.080189	660	252	0.566037736	7334.716667	1464.5	
EDZ48635.1	"EDZ48635.1 reductive dehalogenase subfamily, putative [Rhodobacterales bacterium Y4I]."	5974.264151	692.5	242	0.566037736	10362.21667	1620.5	
ABY28312.1	ABY28312.1 putative reductive dehalogenase [Dehalococcoides sp. enrichment culture clone KS22(KSRdA03)].	3972.663265	970	309	0.551020408	7124.574074	4804	
ACG71583.1	"ACG71583.1 4Fe-4S ferredoxin, iron-sulfur binding protein [Anaeromyxobacter sp. K]."	1646.75	531.5	172	0.53125	2927.720588	1516.5	
EEX08396.1	EEX08396.1 reductive dehalogenase [Silicibacter lacuscaerulensis ITI-1157].	3709.457944	547	203	0.514018692	6983.654545	1341.5	
EDZ46972.1	EDZ46972.1 reductive dehalogenase [Rhodobacterales bacterium Y4I].	1982.807692	545	82	0.512820513	3636.95	1480.5	
ACO34110.1	ACO34110.1 ortho-chlorophenol reductive dehalogenase [Acidobacterium capsulatum ATCC 51196].	1189.757576	426	44	0.484848485	2262.5	1393	
AAW39262.1	"AAW39262.1 reductive dehalogenase, putative [Dehalococcoides ethenogenes 195]."	3695.64	445.25	105	0.46	7820.065217	6578	0.801
EEB70068.1	EEB70068.1 putative reductive dehalogenase subfamily protein [Ruegeria sp. R11].	1057.3	395.5	205	0.427272727	2178.361702	1150	
ABD56891.1	ABD56891.1 Reductive dehalogenase [Jannaschia sp. CCS1].	1230.700935	375	121	0.401869159	2735.430233	1228.5	
ADJ26861.1	ADJ26861.1 reductive dehalogenase [Dehalogenimonas lykanthroporepellens BL-DC-9].	2616.066667	346	48	0.4	6215.083333	1645.25	
AAV95018.1	"AAV95018.1 dehalogenase, putative [Ruegeria pomeroyi DSS-3]."	3068.128205	386.5	31	0.384615385	7576.4	1372	
AAR24337.1	AAR24337.1 reductive dehalogenase homologous protein RdhA7 [Dehalococcoides sp. FL2].	9995.385417	80.5	324	0.375	26511.63889	25445	
EDQ14036.1	EDQ14036.1 Reductive dehalogenase [Phaeobacter gallaeciensis BS107].	1387.361905	335.5	103	0.371428571	3335.807692	1326	
ADJ25402.1	ADJ25402.1 reductive dehalogenase [Dehalogenimonas lykanthroporepellens BL-DC-9].	933.326087	262.25	33	0.369565217	2209.5	1037.5	
EET46325.1	EET46325.1 reductive dehalogenase [Thalassiobium sp. R2A62].	1278.653846	291.5	131	0.355769231	3245.459459	1594.5	
ABE03743.1	"ABE03743.1 2,5-dichlorohydroquinone reductive dechlorinase [Sphingomonas sp. JQL4-5]."	928.75	287	36	0.352941176	2263.958333	1207.25	
CAI83531.1	CAI83531.1 putative reductive dehalogenase [Dehalococcoides sp. CBDB1].	5517.804348	188.5	92	0.347826087	15587.0625	9042.5	
BAI47808.1	BAI47808.1 putative reductive dehalogenase [uncultured bacterium].	1702.666667	163	40	0.333333333	4821.6875	2713.75	
ABD54885.1	ABD54885.1 Reductive dehalogenase [Jannaschia sp. CCS1].	461.6875	219	25	0.325	1032.653846	841	
EFL88602.1	EFL88602.1 reductive dehalogenase [Ahrensia sp. R2A130].	1902.391509	251.75	73	0.311320755	5672.227273	1757	
EAQ45701.1	"EAQ45701.1 dehalogenase, putative [Roseobacter sp. MED193]."	684.7307692	194	22	0.307692308	1807.583333	1127.5	
EBA16668.1	"EBA16668.1 dehalogenase, putative [Roseobacter sp. SK209-2-6]."	637.15	324.75	20	0.3	1580.458333	1022.75	
ABF62547.1	ABF62547.1 Reductive dehalogenase [Ruegeria sp. TM1040].	634.0841121	245.5	63	0.289719626	1709.258065	840	
EEE35492.1	EEE35492.1 reductive dehalogenase [Rhodobacteraceae bacterium KLH11].	452.1842105	222	17	0.289473684	1099.590909	753	
ADJ25486.1	ADJ25486.1 reductive dehalogenase [Dehalogenimonas lykanthroporepellens BL-DC-9].	921.5108696	345.5	33	0.282608696	2643.076923	2005.5	
ADC74651.1	ADC74651.1 reductive dehalogenase [Dehalococcoides sp. GT].	2230.34	162.5	36	0.28	7588.857143	4745.5	0.789
ADJ26151.1	ADJ26151.1 reductive dehalogenase [Dehalogenimonas lykanthroporepellens BL-DC-9].	1442.893617	209	27	0.276595745	4767.038462	959	
EFK11122.1	EFK11122.1 reductive dehalogenase [delta proteobacterium NaphS2].	486.3085106	278.5	25	0.276595745	1195.538462	842	
ADJ26355.1	ADJ26355.1 reductive dehalogenase [Dehalogenimonas lykanthroporepellens BL-DC-9].	764.3829787	203	21	0.276595745	2287.615385	1649	
ABZ84118.1	"ABZ84118.1 tetrachloroethene reductive dehalogenase domain protein, putative [Heliobacterium modesticaldum Ice1]."	2126.025	231	25	0.275	7253	2042.5	
ADJ26448.1	ADJ26448.1 reductive dehalogenase [Dehalogenimonas lykanthroporepellens BL-DC-9].	1046.566667	195	22	0.266666667	3458.166667	2106.25	
EEW60663.1	EEW60663.1 reductive dehalogenase [Silicibacter sp. TrichCH4B].	954.2943925	201.5	50	0.261682243	3126.642857	1643.75	
EEE36585.1	EEE36585.1 putative reductive dehalogenase subfamily [Rhodobacteraceae bacterium KLH11].	589.7333333	228	47	0.257142857	1701.388889	1330	
BAI47794.1	BAI47794.1 putative reductive dehalogenase [uncultured bacterium].	1392.688889	121	19	0.244444444	5266.045455	975	
BAI47842.1	BAI47842.1 putative reductive dehalogenase [uncultured bacterium].	1695.31	109.5	22	0.24	6617.958333	2927.5	
BAI47846.1	BAI47846.1 putative reductive dehalogenase [uncultured bacterium].	1226.042553	187	21	0.234042553	4697.5	2071	
2004215317	>2004215317 orf96\_0076\_19 reductive dehalogenase 75681..76850(-) [Olavius algarvensis endosymbiont metagenome Delta1]	920.3461538	236	15	0.230769231	3243.111111	845	
BAI47844.1	BAI47844.1 putative reductive dehalogenase [uncultured bacterium].	1235.666667	119	16	0.222222222	5088.95	3342.75	
BAI47790.1	BAI47790.1 putative reductive dehalogenase [uncultured bacterium].	552.0111111	152	14	0.222222222	1977	866.75	
AAW40589.1	"AAW40589.1 reductive dehalogenase, putative [Dehalococcoides ethenogenes 195]."	562.0196078	196	17	0.215686275	2025.636364	1350.5	
2004210263	>2004210263 orf92\_0021\_26 reductive dehalogenase 99066..100505(-) [Olavius algarvensis endosymbiont metagenome Delta1]	422.1354167	155.5	22	0.208333333	1358.2	773.25	
AAM96673.1	AAM96673.1 tetrachloro-p-hydroquinone reductive dehalogenase [Sphingobium chlorophenolicum L-1].	474.125	267	11	0.208333333	1363.5	908.5	
BAI47814.1	BAI47814.1 putative reductive dehalogenase [uncultured bacterium].	671.7045455	76.5	17	0.204545455	2865	2009	
BAI47818.1	BAI47818.1 putative reductive dehalogenase [uncultured bacterium].	443.4444444	114	13	0.2	1687.277778	743	
BAI47838.1	BAI47838.1 putative reductive dehalogenase [uncultured bacterium].	619.7111111	148	13	0.2	2554.944444	725	
EDY92216.1	EDY92216.1 reductive dehalogenase [Octadecabacter antarcticus 238].	283.9375	248.5	3	0.1875	575	551	
ACL18760.1	ACL18760.1 reductive dehalogenase [Desulfitobacterium hafniense DCB-2].	320.5	129	18	0.181818182	1075.85	1038	
CAI83519.1	CAI83519.1 putative reductive dehalogenase [Dehalococcoides sp. CBDB1].	536.82	128.5	15	0.18	2409.944444	999	
BAI47830.1	BAI47830.1 putative reductive dehalogenase [uncultured bacterium].	310.1222222	159	12	0.177777778	1033.25	949.5	
BAI47824.1	BAI47824.1 putative reductive dehalogenase [uncultured bacterium].	583.2173913	87	12	0.173913043	2810.375	1193.5	
AAW39256.1	"AAW39256.1 reductive dehalogenase, putative [Dehalococcoides ethenogenes 195]."	324.5106383	143	12	0.170212766	1188.25	782.5	
BAI47832.1	BAI47832.1 putative reductive dehalogenase [uncultured bacterium].	546.9895833	145	18	0.166666667	2538.4375	933.5	
BAI47800.1	BAI47800.1 putative reductive dehalogenase [uncultured bacterium].	1172.697917	134	16	0.166666667	6317.625	1434.25	
ACH47983.1	ACH47983.1 tetrachloroethene reductive dehalogenase [Desulfitobacterium sp. enrichment culture clone C1].	870.8333333	164.25	4	0.166666667	4461.75	4461.75	
BAI47792.1	BAI47792.1 putative reductive dehalogenase [uncultured bacterium].	1972.920455	140	9	0.159090909	11720.85714	1007	
EED32850.1	EED32850.1 reductive dehalogenase [gamma proteobacterium NOR5-3].	810.1074766	148	31	0.158878505	4328.705882	880.5	
BAI47806.1	BAI47806.1 putative reductive dehalogenase [uncultured bacterium].	372.7666667	138	15	0.155555556	1526.571429	652.5	
BAI47840.1	BAI47840.1 putative reductive dehalogenase [uncultured bacterium].	277.4222222	91	11	0.155555556	1143.071429	900	
ABO71656.1	ABO71656.1 reductive dehalogenase [uncultured bacterium].	378.9230769	126.5	4	0.153846154	1734.75	1734.75	
ADJ26212.1	ADJ26212.1 reductive dehalogenase [Dehalogenimonas lykanthroporepellens BL-DC-9].	386.6956522	159	15	0.152173913	1604.428571	917	
BAI47848.1	BAI47848.1 putative reductive dehalogenase [uncultured bacterium].	338.9565217	90.75	11	0.152173913	1655.428571	1651	
2014753778	>2014753778 ANASMEC218870 reductive dehalogenase 4113..5522(+) [ANAS dechlorinating bioreactor (Sample 196)]	2386.265957	74.5	19	0.14893617	15495.71429	7176	
BAI47796.1	BAI47796.1 putative reductive dehalogenase [uncultured bacterium].	520.7446809	78	11	0.14893617	2789.785714	2046	
BAI47826.1	BAI47826.1 putative reductive dehalogenase [uncultured bacterium].	472.4479167	141.75	11	0.145833333	2375.857143	638.5	
BAI47820.1	BAI47820.1 putative reductive dehalogenase [uncultured bacterium].	2618.102041	138.5	11	0.142857143	17511.57143	2031	
ADC74627.1	ADC74627.1 reductive dehalogenase [Dehalococcoides sp. GT].	1044.326531	107	9	0.142857143	6654.857143	1460	
2014753830	>2014753830 ANASMEC219390 reductive dehalogenase 52100..53458(-) [ANAS dechlorinating bioreactor (Sample 196)]	335.3888889	91.5	10	0.133333333	1787.416667	1318.5	
CAC37182.1	CAC37182.1 putative CprA [uncultured microorganism TCB/7-51].	183.9666667	71	4	0.133333333	848	848	
EEA92265.1	EEA92265.1 putative reductive dehalogenase subfamily protein [Pseudovibrio sp. JE062].	956.182243	143	22	0.130841121	6302.321429	932.75	
BAI47852.1	BAI47852.1 putative reductive dehalogenase [uncultured bacterium].	509.3913043	112.5	12	0.130434783	3002.916667	3226.25	
ABV38373.1	ABV38373.1 conserved hypothetical protein [Shewanella sediminis HAW-EB3].	366.1086957	110	10	0.130434783	1918.833333	973	
BAI47834.1	BAI47834.1 putative reductive dehalogenase [uncultured bacterium].	253.6413043	76	10	0.130434783	1292.75	1184	
BAF34982.1	BAF34982.1 trichloroethene reductive dehalogenase [uncultured Dehalococcoides sp.].	578.5555556	119.75	11	0.12962963	3564.285714	1147	
EFN45286.1	EFN45286.1 putative reductive dehalogenase [Thermotogales bacterium mesG1.Ag.4.2].	617.4677419	76	6	0.129032258	4022	1424	
EED36600.1	EED36600.1 reductive dehalogenase [gamma proteobacterium NOR51-B].	611	124.5	9	0.128205128	3842.2	787	
BAI47802.1	BAI47802.1 putative reductive dehalogenase [uncultured bacterium].	412.606383	96.5	10	0.127659574	2419.583333	2376.75	
BAI47828.1	BAI47828.1 putative reductive dehalogenase [uncultured bacterium].	267.2765957	83	10	0.127659574	1102.333333	899.5	
BAK19480.1	BAK19480.1 putative reductive dehalogenase [uncultured bacterium].	209.6595745	73	8	0.127659574	1005.083333	906.75	
EDY88239.1	EDY88239.1 reductive dehalogenase [Octadecabacter antarcticus 238].	214.4375	140.5	1	0.125	604	604	
EDZ42005.1	"EDZ42005.1 reductive dehalogenase subfamily, putative [Rhodobacteraceae bacterium HTCC2083]."	1290.193396	154.75	21	0.122641509	9236.961538	1511.5	
2014753829	>2014753829 ANASMEC219380 reductive dehalogenase 50278..51759(-) [ANAS dechlorinating bioreactor (Sample 196)]	216.4183673	106	10	0.12244898	923.6666667	877.25	
BAE82944.1	BAE82944.1 probable chlorophenol reductive dehalogenase [Desulfitobacterium hafniense Y51].	462.0757576	68	10	0.121212121	3162.75	2172	
ACL20646.1	ACL20646.1 reductive dehalogenase [Desulfitobacterium hafniense DCB-2].	354.5588235	92.75	8	0.117647059	2175.25	2081	
ADJ26806.1	ADJ26806.1 4Fe-4S ferredoxin iron-sulfur binding domain protein [Dehalogenimonas lykanthroporepellens BL-DC-9].	202.2352941	68.5	6	0.117647059	1085.875	1098.5	
2107933864	">2107933864 DHTCA2\_00311900 reductive dehalogenase 6237..7556(-) [Groundwater dechlorinating microbial community from Kitchener, Ontario, containing dehalobacter (TCA/MEAL culture Nov 2010 assembly with PE data)]"	177.9090909	72	11	0.113636364	844.6	743.5	
AAG43483.1	AAG43483.1 putative o-chlorophenol reductive dehalogenase [Desulfitobacterium chlororespirans].	227.2555556	94	17	0.111111111	1068	833	
BAI47798.1	BAI47798.1 putative reductive dehalogenase [uncultured bacterium].	596.2444444	75.5	9	0.111111111	4567.1	1199.5	
AAF73916.1	AAF73916.1 trichloroethene reductive dehalogenase [Dehalococcoides ethenogenes].	470.4454545	81	10	0.109090909	3351.666667	1247.5	
ABB89703.1	ABB89703.1 trichloroethene reductive dehalogenase [Dehalococcoides sp. FMC-TCE].	836.9090909	83	10	0.109090909	6719.333333	3658.5	
ADJ26444.1	ADJ26444.1 reductive dehalogenase [Dehalogenimonas lykanthroporepellens BL-DC-9].	259.923913	91	5	0.108695652	1380.6	1033	
2107921475	">2107921475 DHTCA2\_00188010 reductive dehalogenase 2508..3920(-) [Groundwater dechlorinating microbial community from Kitchener, Ontario, containing dehalobacter (TCA/MEAL culture Nov 2010 assembly with PE data)]"	211.0531915	89	11	0.106382979	1023.4	1090.5	
ADJ25452.1	ADJ25452.1 reductive dehalogenase [Dehalogenimonas lykanthroporepellens BL-DC-9].	221.1382979	100	7	0.106382979	924.2	857	
ADJ26618.1	ADJ26618.1 reductive dehalogenase [Dehalogenimonas lykanthroporepellens BL-DC-9].	191.8829787	79	7	0.106382979	863.5	984	
2099110465	>2099110465 KVRM_01204050 reductive dehalogenase 1461..2897(-) [Sediment microbial communities from Kolumbo Volcano mats (Red mat combined assembly)]	353.1382979	149.5	7	0.106382979	1938.6	1476	
EFO34197.1	EFO34197.1 reductive dehalogenase [Roseibium sp. TrichSKD4].	239.9471154	125.25	21	0.105769231	1152.363636	763	
ADR80141.1	ADR80141.1 putative reductive dehalogenase [uncultured Dehalococcoides sp.].	405.1842105	97	2	0.105263158	2833.75	2833.75	
BAI47836.1	BAI47836.1 putative reductive dehalogenase [uncultured bacterium].	817.9791667	77.5	9	0.104166667	6901.1	814	
CAI83566.1	CAI83566.1 putative reductive dehalogenase [Dehalococcoides sp. CBDB1].	259.3645833	65.75	9	0.104166667	1825.2	877	
EDZ42118.1	EDZ42118.1 reductive dehalogenase [Rhodobacteraceae bacterium HTCC2083].	234.9230769	113	6	0.102564103	1036.75	1173	
ABY28320.1	ABY28320.1 putative reductive dehalogenase [Dehalococcoides sp. enrichment culture clone RC3(RCRdA5)].	258.12	134.5	11	0.1	1260.3	903.5	
2014770387	>2014770387 ANASMEC386160 reductive dehalogenase 2284..3792(+) [ANAS dechlorinating bioreactor (Sample 196)]	478.82	86	5	0.1	3699.8	2219.5	
ABQ16695.1	ABQ16695.1 reductive dehalogenase [Dehalococcoides sp. BAV1].	209.6666667	84	5	0.098039216	1124	1338	
2008008907	>2008008907 tadcc94201 reductive dehalogenase 2..943(-) [Wastewater Terephthalate-degrading communities from Bioreactor]	207.9516129	83	5	0.096774194	1143.166667	915	
2107921589	">2107921589 DHTCA2\_00189150 reductive dehalogenase 1777..3081(-) [Groundwater dechlorinating microbial community from Kitchener, Ontario, containing dehalobacter (TCA/MEAL culture Nov 2010 assembly with PE data)]"	171.2790698	61.5	8	0.093023256	945.375	772.5	
2107921474	">2107921474 DHTCA2\_00188000 reductive dehalogenase 1091..2479(-) [Groundwater dechlorinating microbial community from Kitchener, Ontario, containing dehalobacter (TCA/MEAL culture Nov 2010 assembly with PE data)]"	308.7391304	90.5	6	0.086956522	2394.375	1297	
BAF34632.1	BAF34632.1 reductive dehalogenase homologue [uncultured bacterium].	442.0978261	74.75	4	0.086956522	4107	1085.5	
